combination,rate
"(3,)",1.0
"(4,)",1.0
"(5,)",1.0
"(6,)",1.0
"(7,)",1.0
"(8,)",1.0
"(3, 5)",1.0
"(3, 6)",1.0
"(3, 7)",1.0
"(4, 6)",1.0
"(4, 7)",1.0
"(4, 8)",0.9957805907172996
"(5, 6)",0.9915611814345991
"(3, 5, 6)",0.9915611814345991
"(3, 4)",0.9873417721518988
"(3, 4, 7)",0.9746835443037974
"(3, 8)",0.9662447257383966
"(3, 4, 8)",0.9662447257383966
"(3, 6, 7)",0.9620253164556962
"(6, 7)",0.9493670886075949
"(3, 4, 6)",0.9451476793248945
"(7, 8)",0.9367088607594937
"(5, 6, 7)",0.9367088607594937
"(3, 5, 7)",0.9324894514767933
"(3, 5, 6, 7)",0.9324894514767933
"(3, 7, 8)",0.9282700421940928
"(5, 6, 7, 8)",0.9282700421940928
"(5, 7)",0.9240506329113924
"(5, 7, 8)",0.9240506329113924
"(4, 7, 8)",0.919831223628692
"(3, 6, 7, 8)",0.9156118143459916
"(6, 8)",0.9113924050632911
"(3, 6, 8)",0.9113924050632911
"(6, 7, 8)",0.9113924050632911
"(3, 4, 7, 8)",0.9113924050632911
"(4, 5)",0.9071729957805907
"(4, 6, 7)",0.9071729957805907
"(5, 6, 8)",0.9071729957805907
"(5, 8)",0.9029535864978903
"(3, 5, 7, 8)",0.8987341772151899
"(3, 5, 6, 7, 8)",0.890295358649789
"(3, 4, 6, 7)",0.8860759493670886
"(3, 5, 6, 8)",0.8860759493670886
"(3, 5, 8)",0.8818565400843882
"(3, 4, 5)",0.8776371308016878
"(4, 6, 7, 8)",0.8734177215189873
"(4, 6, 8)",0.869198312236287
"(4, 5, 6)",0.8523206751054853
"(0, 4, 5, 6, 8)",0.8396624472573839
"(0, 4, 5, 7, 8)",0.8396624472573839
"(0, 3, 4, 5, 7, 8)",0.8396624472573839
"(0, 4, 5, 6, 7, 8)",0.8396624472573839
"(0, 2, 4, 5, 6, 7, 8)",0.8396624472573839
"(0, 3)",0.8354430379746836
"(0, 4)",0.8354430379746836
"(0, 3, 4)",0.8354430379746836
"(0, 3, 5)",0.8354430379746836
"(0, 3, 6)",0.8354430379746836
"(0, 3, 7)",0.8354430379746836
"(0, 3, 8)",0.8354430379746836
"(0, 4, 5)",0.8354430379746836
"(0, 4, 6)",0.8354430379746836
"(0, 4, 7)",0.8354430379746836
"(0, 4, 8)",0.8354430379746836
"(0, 3, 4, 7)",0.8354430379746836
"(0, 3, 4, 8)",0.8354430379746836
"(0, 3, 5, 6)",0.8354430379746836
"(0, 3, 5, 7)",0.8354430379746836
"(0, 3, 7, 8)",0.8354430379746836
"(0, 4, 5, 6)",0.8354430379746836
"(0, 4, 5, 8)",0.8354430379746836
"(0, 4, 6, 7)",0.8354430379746836
"(0, 4, 7, 8)",0.8354430379746836
"(0, 1, 4, 5, 8)",0.8354430379746836
"(0, 2, 3, 7, 8)",0.8354430379746836
"(0, 2, 4, 5, 6)",0.8354430379746836
"(0, 2, 4, 5, 8)",0.8354430379746836
"(0, 2, 4, 7, 8)",0.8354430379746836
"(0, 3, 4, 5, 6)",0.8354430379746836
"(0, 3, 4, 6, 7)",0.8354430379746836
"(0, 3, 5, 6, 7)",0.8354430379746836
"(0, 3, 5, 7, 8)",0.8354430379746836
"(0, 3, 6, 7, 8)",0.8354430379746836
"(0, 4, 5, 6, 7)",0.8354430379746836
"(0, 4, 6, 7, 8)",0.8354430379746836
"(0, 1, 4, 5, 6, 8)",0.8354430379746836
"(0, 1, 4, 5, 7, 8)",0.8354430379746836
"(0, 2, 3, 5, 7, 8)",0.8354430379746836
"(0, 2, 4, 5, 6, 8)",0.8354430379746836
"(0, 2, 4, 5, 7, 8)",0.8354430379746836
"(0, 2, 4, 6, 7, 8)",0.8354430379746836
"(0, 3, 4, 5, 6, 7)",0.8354430379746836
"(0, 3, 4, 5, 6, 8)",0.8354430379746836
"(3, 4, 5, 6, 7, 8)",0.8354430379746836
"(0, 1, 3, 4, 5, 7, 8)",0.8354430379746836
"(0, 1, 4, 5, 6, 7, 8)",0.8354430379746836
"(0, 2, 3, 4, 5, 7, 8)",0.8354430379746836
"(0, 2, 3, 4, 6, 7, 8)",0.8354430379746836
"(0, 3, 4, 5, 6, 7, 8)",0.8354430379746836
"(0, 6, 7)",0.8312236286919831
"(0, 7, 8)",0.8312236286919831
"(0, 1, 4, 5)",0.8312236286919831
"(0, 1, 7, 8)",0.8312236286919831
"(0, 2, 4, 5)",0.8312236286919831
"(0, 2, 7, 8)",0.8312236286919831
"(0, 3, 4, 5)",0.8312236286919831
"(0, 3, 4, 6)",0.8312236286919831
"(0, 3, 5, 8)",0.8312236286919831
"(0, 3, 6, 7)",0.8312236286919831
"(0, 3, 6, 8)",0.8312236286919831
"(0, 4, 5, 7)",0.8312236286919831
"(0, 4, 6, 8)",0.8312236286919831
"(0, 5, 6, 7)",0.8312236286919831
"(0, 5, 7, 8)",0.8312236286919831
"(0, 6, 7, 8)",0.8312236286919831
"(3, 4, 5, 6)",0.8312236286919831
"(0, 1, 3, 4, 8)",0.8312236286919831
"(0, 1, 3, 7, 8)",0.8312236286919831
"(0, 1, 4, 5, 6)",0.8312236286919831
"(0, 1, 4, 7, 8)",0.8312236286919831
"(0, 1, 5, 7, 8)",0.8312236286919831
"(0, 1, 6, 7, 8)",0.8312236286919831
"(0, 2, 3, 4, 5)",0.8312236286919831
"(0, 2, 3, 4, 8)",0.8312236286919831
"(0, 2, 3, 5, 7)",0.8312236286919831
"(0, 2, 5, 7, 8)",0.8312236286919831
"(0, 2, 6, 7, 8)",0.8312236286919831
"(0, 3, 4, 5, 7)",0.8312236286919831
"(0, 3, 4, 5, 8)",0.8312236286919831
"(0, 3, 4, 6, 8)",0.8312236286919831
"(0, 3, 4, 7, 8)",0.8312236286919831
"(0, 3, 5, 6, 8)",0.8312236286919831
"(0, 5, 6, 7, 8)",0.8312236286919831
"(0, 1, 3, 4, 5, 7)",0.8312236286919831
"(0, 1, 3, 4, 5, 8)",0.8312236286919831
"(0, 1, 3, 4, 6, 8)",0.8312236286919831
"(0, 1, 3, 4, 7, 8)",0.8312236286919831
"(0, 1, 3, 5, 7, 8)",0.8312236286919831
"(0, 1, 3, 6, 7, 8)",0.8312236286919831
"(0, 1, 4, 5, 6, 7)",0.8312236286919831
"(0, 1, 4, 6, 7, 8)",0.8312236286919831
"(0, 1, 5, 6, 7, 8)",0.8312236286919831
"(0, 2, 3, 4, 5, 6)",0.8312236286919831
"(0, 2, 3, 4, 5, 7)",0.8312236286919831
"(0, 2, 3, 4, 5, 8)",0.8312236286919831
"(0, 2, 3, 4, 6, 8)",0.8312236286919831
"(0, 2, 3, 4, 7, 8)",0.8312236286919831
"(0, 2, 3, 5, 6, 8)",0.8312236286919831
"(0, 2, 3, 6, 7, 8)",0.8312236286919831
"(0, 2, 5, 6, 7, 8)",0.8312236286919831
"(0, 3, 4, 6, 7, 8)",0.8312236286919831
"(0, 3, 5, 6, 7, 8)",0.8312236286919831
"(0, 1, 3, 4, 5, 6, 8)",0.8312236286919831
"(0, 1, 3, 4, 6, 7, 8)",0.8312236286919831
"(0, 2, 3, 4, 5, 6, 8)",0.8312236286919831
"(0, 2, 3, 5, 6, 7, 8)",0.8312236286919831
"(0, 2, 3, 4, 5, 6, 7, 8)",0.8312236286919831
"(0, 5)",0.8270042194092827
"(0, 6)",0.8270042194092827
"(0, 7)",0.8270042194092827
"(0, 8)",0.8270042194092827
"(0, 1, 3)",0.8270042194092827
"(0, 1, 4)",0.8270042194092827
"(0, 1, 5)",0.8270042194092827
"(0, 1, 6)",0.8270042194092827
"(0, 1, 7)",0.8270042194092827
"(0, 1, 8)",0.8270042194092827
"(0, 2, 3)",0.8270042194092827
"(0, 2, 4)",0.8270042194092827
"(0, 2, 5)",0.8270042194092827
"(0, 2, 6)",0.8270042194092827
"(0, 2, 7)",0.8270042194092827
"(0, 2, 8)",0.8270042194092827
"(0, 5, 6)",0.8270042194092827
"(0, 5, 7)",0.8270042194092827
"(0, 5, 8)",0.8270042194092827
"(0, 6, 8)",0.8270042194092827
"(0, 1, 3, 4)",0.8270042194092827
"(0, 1, 3, 5)",0.8270042194092827
"(0, 1, 3, 6)",0.8270042194092827
"(0, 1, 3, 7)",0.8270042194092827
"(0, 1, 3, 8)",0.8270042194092827
"(0, 1, 4, 6)",0.8270042194092827
"(0, 1, 4, 7)",0.8270042194092827
"(0, 1, 4, 8)",0.8270042194092827
"(0, 1, 5, 6)",0.8270042194092827
"(0, 1, 5, 7)",0.8270042194092827
"(0, 1, 5, 8)",0.8270042194092827
"(0, 1, 6, 7)",0.8270042194092827
"(0, 1, 6, 8)",0.8270042194092827
"(0, 2, 3, 4)",0.8270042194092827
"(0, 2, 3, 5)",0.8270042194092827
"(0, 2, 3, 6)",0.8270042194092827
"(0, 2, 3, 7)",0.8270042194092827
"(0, 2, 3, 8)",0.8270042194092827
"(0, 2, 4, 6)",0.8270042194092827
"(0, 2, 4, 7)",0.8270042194092827
"(0, 2, 4, 8)",0.8270042194092827
"(0, 2, 5, 6)",0.8270042194092827
"(0, 2, 5, 7)",0.8270042194092827
"(0, 2, 5, 8)",0.8270042194092827
"(0, 2, 6, 7)",0.8270042194092827
"(0, 2, 6, 8)",0.8270042194092827
"(0, 5, 6, 8)",0.8270042194092827
"(0, 1, 3, 4, 5)",0.8270042194092827
"(0, 1, 3, 4, 6)",0.8270042194092827
"(0, 1, 3, 4, 7)",0.8270042194092827
"(0, 1, 3, 5, 6)",0.8270042194092827
"(0, 1, 3, 5, 7)",0.8270042194092827
"(0, 1, 3, 5, 8)",0.8270042194092827
"(0, 1, 3, 6, 7)",0.8270042194092827
"(0, 1, 3, 6, 8)",0.8270042194092827
"(0, 1, 4, 5, 7)",0.8270042194092827
"(0, 1, 4, 6, 7)",0.8270042194092827
"(0, 1, 4, 6, 8)",0.8270042194092827
