合约,日期,方向,预测,收盘价1,合约乘数,价值,数量
SM,20180202,0,[ 0.],7610.0,5,38050.0,82
SF,20180202,0,[ 0.],6644.0,5,33220.0,92
Y,20180202,0,[ 0.],5630.0,10,56300.0,52
JD,20180202,0,[ 0.],3614.0,10,36140.0,78
FG,20180202,0,[ 0.],1487.0,20,29740.0,101
M,20180202,1,[ 1.],2767.0,10,27670.0,108
CF,20180202,1,[ 1.],15195.0,5,75975.0,40
RM,20180202,1,[ 1.],2311.0,10,23110.0,131
A,20180202,1,[ 1.],3467.0,10,34670.0,82
