合约,日期,方向,预测,收盘价1,合约乘数,价值,数量
SM,20180117,0,[ 0.],7448.0,5,37240.0,82
SF,20180117,0,[ 0.],6688.0,5,33440.0,92
Y,20180117,0,[ 0.],5708.0,10,57080.0,52
I,20180117,0,[ 0.],531.5,100,53150.0,56
JD,20180117,0,[ 0.],3672.0,10,36720.0,78
M,20180117,1,[ 1.],2770.0,10,27700.0,108
CF,20180117,1,[ 1.],15150.0,5,75750.0,40
RM,20180117,1,[ 1.],2280.0,10,22800.0,131
A,20180117,1,[ 1.],3599.0,10,35990.0,82
