合约,日期,方向,预测,收盘价1,合约乘数,价值,数量
SM,20180417,0,[ 0.],7874.0,5,39370.0,82
SF,20180417,0,[ 0.],6500.0,5,32500.0,92
Y,20180417,0,[ 0.],5820.0,10,58200.0,52
I,20180417,0,[ 0.],439.0,100,43900.0,56
FG,20180417,0,[ 0.],1347.0,20,26940.0,101
M,20180417,1,[ 1.],3265.0,10,32650.0,108
C,20180417,1,[ 1.],1740.0,10,17400.0,165
CF,20180417,1,[ 1.],15365.0,5,76825.0,40
PP,20180417,1,[ 1.],8939.0,5,44695.0,64
RM,20180417,1,[ 1.],2697.0,10,26970.0,131
