合约,日期,方向,预测,收盘价1,合约乘数,价值,数量
SM,20180409,0,[ 0.],7540.0,5,37700.0,82
SF,20180409,0,[ 0.],5850.0,5,29250.0,92
Y,20180409,0,[ 0.],5976.0,10,59760.0,52
I,20180409,0,[ 0.],444.0,100,44400.0,56
JD,20180409,0,[ 0.],4044.0,10,40440.0,78
M,20180409,1,[ 1.],3327.0,10,33270.0,108
C,20180409,1,[ 1.],1758.0,10,17580.0,165
CF,20180409,1,[ 1.],15275.0,5,76375.0,40
PP,20180409,1,[ 1.],9062.0,5,45310.0,64
RM,20180409,1,[ 1.],2712.0,10,27120.0,131
