合约,日期,方向,预测,收盘价1,合约乘数,价值,数量
SM,20180612,0,[ 0.],7872.0,5,39360.0,82
SF,20180612,0,[ 0.],6658.0,5,33290.0,92
Y,20180612,0,[ 0.],5700.0,10,57000.0,52
FG,20180612,0,[ 0.],1459.0,20,29180.0,101
M,20180612,1,[ 1.],2910.0,10,29100.0,108
C,20180612,1,[ 1.],1753.0,10,17530.0,165
V,20180612,1,[ 1.],7105.0,5,35525.0,90
CF,20180612,1,[ 1.],17705.0,5,88525.0,40
RM,20180612,1,[ 1.],2367.0,10,23670.0,131
