合约,日期,变化
RI,20180319,不变
TF,20180319,不变
P,20180319,不变
IH,20180319,删除
AU,20180319,删除
SM,20180319,删除
WH,20180319,不变
A,20180319,不变
V,20180319,不变
RM,20180319,删除
PP,20180319,新增
HC,20180319,新增
L,20180319,新增
MA,20180319,新增
