合约,日期,变化
T,20180206,删除
RI,20180206,不变
TF,20180206,删除
PP,20180206,不变
BU,20180206,不变
SM,20180206,不变
WH,20180206,不变
A,20180206,不变
V,20180206,删除
L,20180206,删除
IH,20180206,新增
M,20180206,新增
FB,20180206,新增
I,20180206,新增
