合约,日期,方向,预测,收盘价1,合约乘数,价值,数量
T,20180305,0,[ 0.],92.63,10000,926300.0,3
RI,20180305,0,[ 0.],2784.0,20,55680.0,53
TF,20180305,0,[ 0.],96.405,10000,964050.0,3
PP,20180305,0,[ 0.],9172.0,5,45860.0,65
BU,20180305,0,[ 0.],2716.0,10,27160.0,120
WH,20180305,1,[ 1.],2660.0,20,53200.0,56
Y,20180305,1,[ 1.],5854.0,10,58540.0,49
RM,20180305,1,[ 1.],2570.0,10,25700.0,136
MA,20180305,1,[ 1.],2678.0,10,26780.0,105
