合约,日期,变化
T,20180314,不变
RI,20180314,不变
TF,20180314,不变
PP,20180314,不变
BU,20180314,不变
SM,20180314,删除
WH,20180314,不变
Y,20180314,不变
MA,20180314,删除
RS,20180314,删除
A,20180314,新增
V,20180314,新增
RM,20180314,新增
