合约,日期,方向,预测,收盘价1,合约乘数,价值,数量
T,20180104,0,[ 0.],92.465,10000,924650.0,3
RI,20180104,0,[ 0.],2731.0,20,54620.0,54
TF,20180104,0,[ 0.],96.25,10000,962500.0,3
PP,20180104,0,[ 0.],9524.0,5,47620.0,64
HC,20180104,0,[ 0.],3845.0,10,38450.0,78
WH,20180104,1,[ 1.],2643.0,20,52860.0,59
A,20180104,1,[ 1.],3669.0,10,36690.0,81
V,20180104,1,[ 1.],6825.0,5,34125.0,90
Y,20180104,1,[ 1.],5824.0,10,58240.0,52
L,20180104,1,[ 1.],9990.0,5,49950.0,61
