合约,日期,变化
RI,20180129,不变
PP,20180129,不变
P,20180129,删除
JD,20180129,删除
M,20180129,删除
WH,20180129,不变
V,20180129,删除
Y,20180129,不变
L,20180129,删除
ZC,20180129,删除
T,20180129,新增
TF,20180129,新增
HC,20180129,新增
SM,20180129,新增
A,20180129,新增
RM,20180129,新增
