合约,日期,变化
T,20180130,不变
RI,20180130,不变
TF,20180130,不变
PP,20180130,不变
HC,20180130,删除
WH,20180130,不变
RM,20180130,不变
BU,20180130,新增
I,20180130,新增
RS,20180130,新增
