合约,日期,变化
T,20180404,删除
RI,20180404,不变
TF,20180404,删除
PP,20180404,不变
IH,20180404,不变
WH,20180404,不变
A,20180404,不变
Y,20180404,不变
L,20180404,删除
HC,20180404,新增
AU,20180404,新增
