合约,日期,变化
RI,20180312,不变
TF,20180312,不变
PP,20180312,不变
BU,20180312,删除
P,20180312,不变
WH,20180312,不变
IF,20180312,不变
MA,20180312,不变
RS,20180312,删除
HC,20180312,新增
