合约,日期,方向,预测,收盘价1,合约乘数,价值,数量
RI,20180125,0,[ 0.],2806.0,20,56120.0,54
IH,20180125,0,[ 0.],3164.8,300,949440.0,3
JD,20180125,0,[ 0.],3681.0,10,36810.0,77
IC,20180125,0,[ 0.],6387.0,200,1277400.0,2
WH,20180125,1,[ 1.],2606.0,20,52120.0,58
V,20180125,1,[ 1.],6855.0,5,34275.0,90
RM,20180125,1,[ 1.],2315.0,10,23150.0,125
L,20180125,1,[ 1.],9945.0,5,49725.0,63
ZC,20180125,1,[ 1.],668.4,100,66840.0,44
