合约,日期,变化
T,20180302,不变
RI,20180302,不变
TF,20180302,不变
PP,20180302,不变
BU,20180302,不变
SM,20180302,删除
WH,20180302,不变
IF,20180302,删除
A,20180302,不变
V,20180302,不变
Y,20180302,新增
RM,20180302,新增
