合约,日期,方向,预测,收盘价1,合约乘数,价值,数量
RI,20180417,0,[ 0.],2784.0,20,55680.0,53
PP,20180417,0,[ 0.],8939.0,5,44695.0,68
P,20180417,0,[ 0.],4986.0,10,49860.0,52
IH,20180417,0,[ 0.],2633.2,300,789960.0,3
V,20180417,0,[ 0.],6590.0,5,32950.0,85
SM,20180417,1,[ 1.],7874.0,5,39370.0,80
RM,20180417,1,[ 1.],2697.0,10,26970.0,139
ZC,20180417,1,[ 1.],585.8,100,58579.99999999999,45
MA,20180417,1,[ 1.],2675.0,10,26750.0,108
J,20180417,1,[ 1.],1787.0,100,178700.0,13
