合约,日期,方向,预测,收盘价1,合约乘数,价值,数量
T,20180314,0,[ 0.],92.67,10000,926700.0,3
RI,20180314,0,[ 0.],2784.0,20,55680.0,55
TF,20180314,0,[ 0.],96.445,10000,964449.9999999999,3
PP,20180314,0,[ 0.],8931.0,5,44655.0,67
BU,20180314,0,[ 0.],2654.0,10,26540.0,121
WH,20180314,1,[ 1.],2584.0,20,51680.0,56
A,20180314,1,[ 1.],3626.0,10,36260.0,82
V,20180314,1,[ 1.],6330.0,5,31650.0,93
Y,20180314,1,[ 1.],5710.0,10,57100.0,48
RM,20180314,1,[ 1.],2525.0,10,25250.0,134
