合约,日期,变化
RI,20180418,不变
PP,20180418,不变
P,20180418,删除
IH,20180418,不变
V,20180418,不变
SM,20180418,删除
RM,20180418,不变
ZC,20180418,不变
MA,20180418,删除
J,20180418,删除
JD,20180418,新增
V,20180418,新增
Y,20180418,新增
L,20180418,新增
