合约,日期,前收盘,下一开盘价,开盘价,开盘价1,最高价,最低价,收盘价,收盘价1,成交量,成交额,成交笔数,涨跌(收盘价),涨跌幅(收盘价),振幅(收盘价),均价,持仓量,持仓量变化,前结算价,结算价,涨跌(结算价),涨跌幅(结算价),最近交易日期,市场最近交易日,MA_5,MA_10,MA_20,MA_30,MA_40,MA_60,持仓量变化,资金变动,价格变动贡献度,分类
T.CZC,20180102,-6.057966014547468,92.65,-5.453199168602161,93.17,-6.72318394767494,-9.104909103365976,-11.086375910812443,92.64,40041.0,37225643700.0,0,-0.535,-33.198078143117094,0.611817743,92.96881621,60827.0,0.0,-5.796352751559219,-9.449777864037536,-0.375,-27.515264117618138,2018/1/2,2018/1/2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.34197950180203,-1.0
T.CZC,20180103,-11.044835979025017,92.48,-10.12000023596375,92.65,-10.823384470762413,-9.766181662681369,-11.132704828548476,92.635,28411.0,26324715650.0,0,-0.165,-11.845067295303394,0.215889465,92.65677255,61147.0,1.0942462756934432,-9.364756751760247,-11.2649737548589,-0.195,-15.693506383696963,2018/1/3,2018/1/3,0.0,0.0,0.0,0.0,0.0,0.0,1.0942462756934432,1.069102469897544,-11.849358026875528,-1.0
T.CZC,20180104,-11.09160282885847,92.5,-11.618164436618692,92.48,-12.720219980719854,-12.252121463994243,-12.698066193229565,92.465,29409.0,27174647750.0,0,-0.14,-10.118883384436536,0.296864036,92.40248818,60601.0,-8.608183162065963,-11.191957983154829,-12.507629760701164,-0.135,-11.271828818167819,2018/1/4,2018/1/4,0.0,0.0,0.0,0.0,0.0,0.0,-8.608183162065963,-8.674985020114491,-10.139922452666937,-1.0
T.CZC,20180105,-12.671702732884718,92.505,-11.44276085274442,92.5,-12.451004691258142,-11.123790571293966,-12.835227269054911,92.45,20664.0,19114096000.0,0,-0.02,-1.6140251628798836,0.189260801,92.49949671,60887.0,0.710747568484571,-12.442844547555211,-12.416007393472647,0.01,0.0007878150655074023,2018/1/5,2018/1/5,0.0,0.0,0.0,0.0,0.0,0.0,0.710747568484571,0.6769747667125117,-1.6146390152288674,-1.0
T.CZC,20180108,-12.810148943804059,92.635,-11.398873210217488,92.505,-11.41349105551874,-11.558933562712923,-10.947294805710051,92.655,30429.0,28169262350.0,0,0.175,12.220053499170504,0.36776636,92.57373673,59861.0,-13.803973487777355,-12.350615438599924,-10.80170880097031,0.175,12.792537485047603,2018/1/8,2018/1/8,-10.580775924183598,0.0,0.0,0.0,0.0,0.0,-13.803973487777355,-13.90968583703085,12.197590497098012,1.0
T.CZC,20180109,-10.904439687757147,92.48,-10.252828305927395,92.635,-11.005228089768579,-9.634144030692546,-11.040031226191097,92.645,22677.0,21011819550.0,0,-0.01,-0.8934226834578922,0.17807997399999997,92.65696322,59381.0,-7.879518058647804,-10.725625653841483,-10.708869436237137,0.01,-0.0007878150655002969,2018/1/9,2018/1/9,-10.572268345038573,0.0,0.0,0.0,0.0,0.0,-7.879518058647804,-7.954218332425121,-0.8936406668908958,-1.0
T.CZC,20180110,-10.998053129468197,92.34,-11.618164436618692,92.48,-12.091107813068582,-11.645789592478792,-13.835999157372086,92.34,35541.0,32869575350.0,0,-0.325,-22.22027611679885,0.296831993,92.48354112,60860.0,13.878147348436457,-10.632171774157342,-13.19251620140762,-0.27,-20.977090256891586,2018/1/10,2018/1/10,-11.067660943655753,0.0,0.0,0.0,0.0,0.0,13.878147348436457,13.873003997623258,-22.29150298190624,-1.0
T.CZC,20180111,-13.820260008219243,92.16,-12.83914639457008,92.34,-13.923844056267455,-14.434475939511017,-15.720017257598549,92.13,39029.0,35967604450.0,0,-0.265,-18.54427079212967,0.427766948,92.15610046,62747.0,18.103259470452144,-13.132264447738727,-15.711031397174402,-0.28,-21.703969013191323,2018/1/11,2018/1/11,-11.61932385449171,0.0,0.0,0.0,0.0,0.0,18.103259470452144,18.064743537309297,-18.58857325454656,-1.0
T.CZC,20180112,-15.721642272033101,92.15,-14.390042925860044,92.16,-14.674752560413644,-13.370090275184765,-14.422996506497611,92.275,22852.0,21074368750.0,0,0.16,11.225869331513806,0.200803213,92.22111303,59456.0,-33.983458881569774,-15.66738109741192,-14.234512374637099,0.165,12.091249678994963,2018/1/12,2018/1/12,-11.908241099656735,0.0,0.0,0.0,0.0,0.0,-33.983458881569774,-34.04918351897396,11.212223141574782,1.0
T.CZC,20180115,-14.412700751917498,92.1,-14.475537161277408,92.15,-16.20260085050991,-15.780537617192344,-16.51595891228512,92.04,39065.0,35932174150.0,0,-0.24,-16.935404795425526,0.319696559,91.98047907,60035.0,4.009725291915466,-14.181146384347066,-16.462568225718968,-0.25,-19.682699694443595,2018/1/15,2018/1/15,-12.916204539889378,-11.224294607916768,0.0,0.0,0.0,0.0,4.009725291915466,3.958971915306776,-16.98069174915281,-1.0
