价格变动贡献度,资金变动,持仓量变化,MA_60,MA_40,MA_30,MA_20,MA_10,MA_5,分类
7.050355319930468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-49.675810550433944,9.912271262309973,8.653331416980457,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.038241078798954,5.618026474127114,4.893135195794245,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21.662690161776425,5.823027826352664,5.021158368491129,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-13.514230803595176,4.265721522005791,3.712031908783061,0.0,0.0,0.0,0.0,0.0,-4.882031508144927,0.0
-8.710720071586564,4.901148733754211,4.268317462698256,0.0,0.0,0.0,0.0,0.0,-5.678562557589822,0.0
-7.451354508678257,10.079183466480737,8.753032339494348,0.0,0.0,0.0,0.0,0.0,-5.586807717668243,0.0
-34.660010657444374,4.1208292569971405,3.6370894150160713,0.0,0.0,0.0,0.0,0.0,-5.900640478571916,0.0
3.287341772274452,0.4792881806546561,0.41124570719915005,0.0,0.0,0.0,0.0,0.0,-6.47282809731658,0.0
-22.37292483405752,11.72360523814652,10.537399206911438,0.0,0.0,0.0,0.0,-5.966139795657071,-7.105663531582295,0.0
-3.6509236485854544,-0.1943397900806687,-0.20159374540274652,0.0,0.0,0.0,0.0,-6.599051211309053,-7.580341546749935,1.0
-6.5548108116911825,2.0459782024290405,1.7976151279589845,0.0,0.0,0.0,0.0,-6.84918451407102,-8.176343644212075,0.0
3.2493902463601643,10.130154774292583,9.109389797174616,0.0,0.0,0.0,0.0,-7.134930036468703,-8.436547791989247,0.0
-41.87351841662545,5.4064999239342475,4.9358153096725195,0.0,0.0,0.0,0.0,-7.755335641457506,-9.111172262980835,0.0
-33.287847664968766,-8.166477687326477,-7.996041460718821,0.0,0.0,0.0,0.0,-8.457191925854502,-9.888744402397755,0.0
10.922260582895115,11.107644886792867,10.423235300502284,0.0,0.0,0.0,0.0,-9.086219162189678,-10.678115538693156,1.0
