combination,rate
"(0, 3)",0.8947368421052632
"(0, 4)",0.8947368421052632
"(0, 5)",0.8947368421052632
"(0, 3, 4)",0.8947368421052632
"(0, 3, 5)",0.8947368421052632
"(0, 4, 5)",0.8947368421052632
"(0, 3, 4, 5)",0.8947368421052632
"(0,)",0.868421052631579
"(0, 1, 3)",0.868421052631579
"(0, 1, 3, 4, 5)",0.868421052631579
"(0, 1)",0.8421052631578947
"(0, 2)",0.8421052631578947
"(0, 1, 2)",0.8421052631578947
"(0, 1, 4)",0.8421052631578947
"(0, 1, 5)",0.8421052631578947
"(0, 2, 3)",0.8421052631578947
"(0, 2, 4)",0.8421052631578947
"(0, 2, 5)",0.8421052631578947
"(0, 1, 2, 3)",0.8421052631578947
"(0, 1, 2, 4)",0.8421052631578947
"(0, 1, 2, 5)",0.8421052631578947
"(0, 1, 3, 4)",0.8421052631578947
"(0, 1, 3, 5)",0.8421052631578947
"(0, 1, 4, 5)",0.8421052631578947
"(0, 2, 3, 4)",0.8421052631578947
"(0, 2, 3, 5)",0.8421052631578947
"(0, 2, 4, 5)",0.8421052631578947
"(0, 1, 2, 3, 4)",0.8421052631578947
"(0, 1, 2, 3, 5)",0.8421052631578947
"(0, 1, 2, 4, 5)",0.8421052631578947
"(0, 2, 3, 4, 5)",0.8421052631578947
"(0, 1, 2, 3, 4, 5)",0.8421052631578947
"(5,)",0.7894736842105263
"(1, 2, 3)",0.7894736842105263
"(1, 2, 4)",0.7894736842105263
"(1, 2, 5)",0.7894736842105263
"(1, 2)",0.7631578947368421
"(1, 2, 3, 4)",0.7631578947368421
"(1, 2, 3, 5)",0.7631578947368421
"(1, 2, 4, 5)",0.7631578947368421
"(1, 2, 3, 4, 5)",0.7631578947368421
