合约,日期,收盘价1,价格变动贡献度,资金变动,持仓量变化,MA_60,MA_40,MA_30,MA_20,MA_10,MA_5,分类
IC.CZC,20150416,7707.8,-18.983010137969746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
IC.CZC,20150417,7758.2,15.990877626552674,41.459414608765066,36.918327969679254,0.0,0.0,0.0,0.0,0.0,0.0,1.0
IC.CZC,20150420,7622.2,-28.434917131180647,30.75082755860123,26.704747164121986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC.CZC,20150421,8140.4,47.317885908712256,49.95964811106947,49.53291293463053,0.0,0.0,0.0,0.0,0.0,0.0,1.0
IC.CZC,20150422,8189.8,17.692565542471897,-32.997442505726966,-26.176190467654123,0.0,0.0,0.0,0.0,0.0,35.81300972339946,1.0
IC.CZC,20150423,8265.6,8.216869407825122,1.8481664919428693,2.163288361546733,0.0,0.0,0.0,0.0,0.0,36.48842536520522,1.0
IC.CZC,20150424,8327.2,7.033457378096544,-1.5542787258219164,-0.3927520798374573,0.0,0.0,0.0,0.0,0.0,37.10213251799,1.0
IC.CZC,20150427,8347.2,3.8984976890333836,15.507169806185214,12.530303769747874,0.0,0.0,0.0,0.0,0.0,37.93104151868931,1.0
IC.CZC,20150428,8147.0,-30.693536049552144,17.776103016697988,14.560489105499215,0.0,0.0,0.0,0.0,0.0,37.93661552137846,0.0
IC.CZC,20150429,8302.2,27.44168414593979,35.51883933258424,29.367215896640506,0.0,0.0,0.0,0.0,37.556233726115295,38.01632782714249,1.0
IC.CZC,20150430,8338.8,7.283978649842062,-24.65234558509218,-18.419860858572413,0.0,0.0,0.0,0.0,37.89991885386529,38.063133631238024,1.0
IC.CZC,20150504,8347.2,-3.1805425440028614,1.0816814897270035,1.5956776804128625,0.0,0.0,0.0,0.0,38.20019525464053,38.07511193856647,1.0
IC.CZC,20150505,8145.0,-26.58179446360668,-5.455258252435441,-3.4802603290741843,0.0,0.0,0.0,0.0,38.53337497470106,37.93160938142428,0.0
IC.CZC,20150506,8040.8,-16.605507048944375,-6.2181075174226095,-4.1623439786048015,0.0,0.0,0.0,0.0,38.487839861757,37.83399178571303,0.0
IC.CZC,20150507,7911.4,-23.429922880569144,-4.001811618826004,-2.513659699575321,0.0,0.0,0.0,0.0,38.35090022011568,37.47395430594544,0.0
IC.CZC,20150508,8171.2,30.837088877180147,25.5145044524042,20.835882806367227,0.0,0.0,0.0,0.0,38.315597157583795,37.35296318794057,1.0
IC.CZC,20150511,8489.8,41.377365852747204,4.187546266413322,3.9129325956467436,0.0,0.0,0.0,0.0,38.358857977551935,37.42946004833809,1.0
IC.CZC,20150512,8647.8,25.394086134948225,-30.942069135799986,-23.023756231365727,0.0,0.0,0.0,0.0,38.426552717337906,37.7148151764126,1.0
IC.CZC,20150513,8695.8,11.832161956775202,1.838347695664325,2.1966646923541333,0.0,0.0,0.0,0.0,38.571963403922894,38.10546285283787,1.0
IC.CZC,20150514,8603.0,2.031345610965687,49.999979552293404,49.98976880072218,0.0,0.0,0.0,38.71198294408509,38.64487000310332,38.59521239752297,0.0
IC.CZC,20150515,8579.8,-3.9811312756128667,49.7435104443001,48.062445393786966,0.0,0.0,0.0,38.907196104991435,38.702085434770105,38.81841454006542,0.0
IC.CZC,20150518,8798.4,18.049736693070162,49.369131111846215,46.4099438337651,0.0,0.0,0.0,39.09716426261296,38.78895536285745,38.91613202168551,1.0
IC.CZC,20150519,9120.8,35.36545723127097,31.858009733346805,24.214712391222573,0.0,0.0,0.0,39.3514973729332,38.970946027703924,39.00612101278236,1.0
IC.CZC,20150520,9286.8,21.479726497253765,37.628163123322956,28.994837882734288,0.0,0.0,0.0,39.446663002548426,39.203331130907344,39.09543299426126,1.0
IC.CZC,20150521,9734.6,40.31335724134448,48.70548467310316,42.82272695944639,0.0,0.0,0.0,39.53592452583672,39.50700714783167,39.22907007264576,1.0
IC.CZC,20150522,9741.2,11.977144499046831,-19.758800171959344,-12.005062155985096,0.0,0.0,0.0,39.611444900034726,39.68578517687878,39.369462125507695,1.0
IC.CZC,20150525,9966.6,24.39336301587059,43.20922491307724,33.32563591634191,0.0,0.0,0.0,39.67782034986935,39.77428326001504,39.45131726170162,1.0
IC.CZC,20150526,10532.2,44.286342371141636,28.369235036559743,19.087224309907416,0.0,0.0,0.0,39.74159010038663,39.83548431679112,39.48628538104376,1.0
IC.CZC,20150527,10552.0,14.649646929925012,42.638422642178604,31.394900641023032,0.0,0.0,0.0,39.838468319819725,39.88965250161884,39.50779168967688,1.0
IC.CZC,20150528,9977.2,-47.995279174130964,-45.48214430244182,-34.98567086822316,0.0,0.0,40.73752637687103,39.907471504986304,39.95628544836176,39.510796402659935,0.0
IC.CZC,20150529,10121.0,-2.6752504858937702,0.5006239693397205,1.4787727142369889,0.0,0.0,40.882695606823475,39.97108896070347,40.02689522903296,39.514616502401616,1.0
IC.CZC,20150601,11025.6,49.3422838028461,49.996576091450564,48.920925402724,0.0,0.0,41.014547151246944,40.03359590901714,40.0682613354106,39.5169726626434,1.0
IC.CZC,20150602,11250.4,34.408952635046504,-31.490490180813914,-17.926599413814877,0.0,0.0,41.178339913134494,40.12890097986785,40.085599654826886,39.517242555341014,1.0
IC.CZC,20150603,11103.2,-19.786127563997148,11.408601005296896,7.812901361371736,0.0,0.0,41.2411632160415,40.24529218616517,40.096307289889694,39.5174786676739,0.0
IC.CZC,20150604,10869.2,-29.732382629493493,-49.99999995906851,-49.97766973791213,0.0,0.0,41.29763967847491,40.3927010143892,40.09888845341492,39.519711932111356,0.0
IC.CZC,20150605,10949.0,18.561343320979134,-39.72160030415819,-25.562288144094246,0.0,0.0,41.34559314307064,40.4806394545937,40.101422134333795,39.52103392141731,1.0
IC.CZC,20150608,10602.6,-34.952507933507704,-43.53297145443771,-30.66811639522405,0.0,0.0,41.387397901028706,40.52426157670425,40.1024956046281,39.520856547776944,0.0
IC.CZC,20150609,10700.4,-2.1057189764630024,9.259848334327891,6.711766110985671,0.0,0.0,41.427282409257494,40.55416522357496,40.102564853470284,39.52072722916651,1.0
IC.CZC,20150610,10987.8,28.555037297507724,47.206969987953435,36.95389791960612,0.0,0.0,41.48795436274182,40.580706784988735,40.102672984777755,39.52071057179264,1.0
IC.CZC,20150611,11258.8,14.579375492615087,-25.4668494309364,-13.68385112294812,0.0,42.669784455711905,41.531572761841495,40.613915822989576,40.103801672901724,39.52076786618685,1.0
IC.CZC,20150612,11427.8,21.538888203661102,-49.887210014805476,-44.96635709142853,0.0,42.76966125166833,41.57170824984024,40.64892608030004,40.10447462352693,39.52081148939304,1.0
IC.CZC,20150615,11228.6,-25.57328055815223,-39.64879895469824,-24.886611560500725,0.0,42.86033727454023,41.61097142988521,40.66928529074317,40.10448500150865,39.52100992316818,0.0
IC.CZC,20150616,10839.0,-40.654845863197544,-49.9999095169695,-49.68292169190976,0.0,42.97311511917543,41.67090144777535,40.67780907610709,40.104452265874,39.521072810811226,0.0
IC.CZC,20150617,11033.4,23.19981187993514,-49.99407650865032,-48.44111312407812,0.0,43.016417574750655,41.74423705893283,40.683083455226644,40.10444778947815,39.521080384088336,1.0
IC.CZC,20150618,10585.0,-37.29389837146292,50.0,49.99999999973937,0.0,43.05534957354986,41.837310248198854,40.68431713876839,40.10436956379913,39.520864351220936,0.0
IC.CZC,20150619,9990.0,-48.904296912646025,3.8010399210345582,3.53020603795089,0.0,43.08819388933422,41.89263086162715,40.685043439325206,40.10330952703957,39.518669557528746,0.0
IC.CZC,20150623,9862.6,-28.777702526869604,46.8056207768456,38.615407871762365,0.0,43.11668806262945,41.91977093176111,40.68478925126556,40.101720541471344,39.51524617890769,0.0
IC.CZC,20150624,10058.0,16.665590570876848,-49.66661375932017,-45.17984391544172,0.0,43.144054557825854,41.93848802760096,40.68443887144093,40.100940580036095,39.51360017042728,1.0
IC.CZC,20150625,9381.6,-48.0966302877739,-23.88517478805027,-15.614657910699108,0.0,43.184147498981226,41.95279244777542,40.680528332341396,40.092899065827744,39.497265875257476,0.0
IC.CZC,20150626,8629.0,-49.97641564245605,38.04605543478903,30.97681719341693,0.0,43.20004703272686,41.95407457564386,40.650060526702354,40.029879001497825,39.36923435332318,0.0
IC.CZC,20150629,7768.4,-49.97641722830089,-49.329311673490906,-47.617740670009965,0.0,43.14232550096107,41.85734720897503,40.46319433420254,39.64672583563997,38.58064312762557,0.0
IC.CZC,20150630,8346.0,46.42970295719317,-17.449540366230792,-12.56206311528999,0.0,43.14225294684779,41.83201214676535,40.4025124451552,39.521465384189185,38.32175761319074,1.0
IC.CZC,20150701,7509.4,-49.976407216297744,-6.725907088393598,-5.091954583642497,0.0,43.05235394888982,41.65231150887753,40.10907213356694,38.90878878010642,37.01243573873809,0.0
IC.CZC,20150702,7667.8,-37.27513364182773,-48.04254456308881,-45.27558452627849,0.0,43.0016220173938,41.5101171349997,39.87717486978451,38.4165813545132,35.94859543493297,1.0
